experiment_name,classifier,accuracy,precision,recall,f1
experiment3,rf,0.6557894736842105,0.6546931786620361,0.6557894736842105,0.653105829508509
experiment3,svm,0.6092105263157894,0.621162012110179,0.6092105263157894,0.6034500487936645
experiment3,knn,0.6210526315789474,0.6153939699568697,0.6210526315789474,0.6132331916285743
experiment4,rf,0.8321052631578948,0.8311992046550605,0.8321052631578948,0.8314127799402364
experiment4,svm,0.7918421052631579,0.8008393511100479,0.7918421052631579,0.7946967436920809
experiment4,knn,0.776578947368421,0.7695909582276435,0.776578947368421,0.7702720165527274
experiment5,rf,0.8190419869899468,0.8189710254932719,0.8190419869899468,0.818741733995543
experiment5,svm,0.8255470136014192,0.8260232447482714,0.8255470136014192,0.8253992906423604
experiment5,knn,0.7776463630987581,0.7791037129633851,0.7776463630987581,0.7768451220813144
experiment7,rf,0.7788290952099349,0.77556831519962,0.7788290952099349,0.7764229212349925
experiment7,svm,0.8024837374334713,0.8016958724442587,0.8024837374334713,0.8011028328630595
experiment7,knn,0.7486694263749261,0.7465092599195078,0.7486694263749261,0.7463531661717567
experiment1,rf,0.7811945594322885,0.7806643587296228,0.7811945594322885,0.7804600819637841
experiment1,svm,0.7551744529863986,0.7601235571824235,0.7551744529863986,0.7559342868905832
experiment1,knn,0.7238320520402128,0.7228394057472232,0.7238320520402128,0.7202221486886822
experiment2,rf,0.7811945594322885,0.780835759569269,0.7811945594322885,0.7805736463978267
experiment2,svm,0.7433471318746304,0.7442884123572705,0.7433471318746304,0.7429545689906797
experiment2,knn,0.6895328208160851,0.686719405347807,0.6895328208160851,0.6855087485631027
experiment8,rf,0.7001774098166765,0.7010712493021033,0.7001774098166765,0.6994459499269933
experiment8,svm,0.6558249556475458,0.662219124664898,0.6558249556475458,0.6514587580598163
experiment8,knn,0.6434062684801892,0.6469714737297853,0.6434062684801892,0.6424701108973192
baseline,rf,0.536639526276832,0.5279862808114021,0.536639526276832,0.5291439293930011
baseline,svm,0.5255366395262768,0.5256132722507333,0.5255366395262768,0.5133537549849395
baseline,knn,0.4715025906735751,0.4659443034919372,0.4715025906735751,0.4657460246450287
experiment6,rf,0.8156920799407846,0.8155564711187411,0.8156920799407846,0.8153156188037788
experiment6,svm,0.8312361213915618,0.8347686459090041,0.8312361213915618,0.8316184959125691
experiment6,knn,0.7986676535899334,0.79873897489139,0.7986676535899334,0.7973514835692964
